宁夏2025年新高考一分一段表
格式说明：每列两子列 = 分数段（如"616分以上"）+ 累计人数（即位次）
选科对应：普通历史=历史类，普通物理=物理类，体育历史=体育历史类，体育物理=体育物理类

--- 普通历史 ---
--- 普通物理 ---
--- 体育历史 ---
--- 体育物理 ---
普通历史: 616分以上分, 位次54 | 普通物理: 641分以上分, 位次100 | 体育历史: 570分以上分, 位次20 | 体育物理: 570分以上分, 位次21
普通历史: 615分以上分, 位次59 | 普通物理: 640分以上分, 位次113 | 体育历史: 569分以上分, 位次22 | 体育物理: 570分以上分, 位次23
普通历史: 614分以上分, 位次61 | 普通物理: 639分以上分, 位次116 | 体育历史: 568分以上分, 位次23 | 体育物理: 569分以上分, 位次26
普通历史: 613分以上分, 位次66 | 普通物理: 638分以上分, 位次119 | 体育历史: 564分以上分, 位次24 | 体育物理: 567分以上分, 位次27
普通历史: 612分以上分, 位次75 | 普通物理: 637分以上分, 位次125 | 体育历史: 563分以上分, 位次26 | 体育物理: 566分以上分, 位次28
普通历史: 611分以上分, 位次78 | 普通物理: 636分以上分, 位次133 | 体育历史: 562分以上分, 位次27 | 体育物理: 565分以上分, 位次29
普通历史: 610分以上分, 位次82 | 普通物理: 635分以上分, 位次138 | 体育历史: 560分以上分, 位次29 | 体育物理: 564分以上分, 位次30
普通历史: 609分以上分, 位次85 | 普通物理: 634分以上分, 位次145 | 体育历史: 559分以上分, 位次32 | 体育物理: 563分以上分, 位次33
普通历史: 608分以上分, 位次90 | 普通物理: 633分以上分, 位次151 | 体育历史: 557分以上分, 位次35 | 体育物理: 562分以上分, 位次36
普通历史: 607分以上分, 位次95 | 普通物理: 632分以上分, 位次156 | 体育历史: 556分以上分, 位次37 | 体育物理: 561分以上分, 位次38
普通历史: 606分以上分, 位次101 | 普通物理: 631分以上分, 位次163 | 体育历史: 554分以上分, 位次39 | 体育物理: 560分以上分, 位次39
普通历史: 605分以上分, 位次105 | 普通物理: 630分以上分, 位次170 | 体育历史: 553分以上分, 位次40 | 体育物理: 559分以上分, 位次42
普通历史: 604分以上分, 位次108 | 普通物理: 629分以上分, 位次186 | 体育历史: 550分以上分, 位次42 | 体育物理: 558分以上分, 位次45
普通历史: 603分以上分, 位次115 | 普通物理: 628分以上分, 位次202 | 体育历史: 549分以上分, 位次44 | 体育物理: 557分以上分, 位次49
普通历史: 602分以上分, 位次120 | 普通物理: 627分以上分, 位次212 | 体育历史: 547分以上分, 位次46 | 体育物理: 556分以上分, 位次51
普通历史: 601分以上分, 位次129 | 普通物理: 626分以上分, 位次221 | 体育历史: 546分以上分, 位次48 | 体育物理: 555分以上分, 位次52
普通历史: 600分以上分, 位次134 | 普通物理: 625分以上分, 位次229 | 体育历史: 545分以上分, 位次49 | 体育物理: 554分以上分, 位次53
普通历史: 599分以上分, 位次143 | 普通物理: 624分以上分, 位次235 | 体育历史: 544分以上分, 位次51 | 体育物理: 553分以上分, 位次54
普通历史: 598分以上分, 位次149 | 普通物理: 623分以上分, 位次246 | 体育历史: 542分以上分, 位次55 | 体育物理: 552分以上分, 位次56
普通历史: 597分以上分, 位次156 | 普通物理: 622分以上分, 位次259 | 体育历史: 541分以上分, 位次57 | 体育物理: 551分以上分, 位次58
普通历史: 596分以上分, 位次161 | 普通物理: 621分以上分, 位次271 | 体育历史: 540分以上分, 位次61 | 体育物理: 550分以上分, 位次63
普通历史: 595分以上分, 位次170 | 普通物理: 620分以上分, 位次271 | 体育历史: 539分以上分, 位次63 | 体育物理: 549分以上分, 位次67
普通历史: 594分以上分, 位次181 | 普通物理: 619分以上分, 位次284 | 体育历史: 538分以上分, 位次67 | 体育物理: 548分以上分, 位次68
普通历史: 593分以上分, 位次191 | 普通物理: 618分以上分, 位次301 | 体育历史: 537分以上分, 位次69 | 体育物理: 547分以上分, 位次70
普通历史: 592分以上分, 位次199 | 普通物理: 617分以上分, 位次325 | 体育历史: 535分以上分, 位次71 | 体育物理: 546分以上分, 位次75
普通历史: 591分以上分, 位次222 | 普通物理: 616分以上分, 位次336 | 体育历史: 534分以上分, 位次76 | 体育物理: 545分以上分, 位次77
普通历史: 590分以上分, 位次235 | 普通物理: 615分以上分, 位次350 | 体育历史: 533分以上分, 位次78 | 体育物理: 544分以上分, 位次80
普通历史: 589分以上分, 位次242 | 普通物理: 614分以上分, 位次371 | 体育历史: 532分以上分, 位次84 | 体育物理: 543分以上分, 位次83
普通历史: 587分以上分, 位次251 | 普通物理: 613分以上分, 位次384 | 体育历史: 531分以上分, 位次87 | 体育物理: 542分以上分, 位次88
普通历史: 586分以上分, 位次262 | 普通物理: 612分以上分, 位次396 | 体育历史: 529分以上分, 位次88 | 体育物理: 541分以上分, 位次89
普通历史: 585分以上分, 位次274 | 普通物理: 611分以上分, 位次420 | 体育历史: 528分以上分, 位次91 | 体育物理: 540分以上分, 位次93
普通历史: 584分以上分, 位次282 | 普通物理: 610分以上分, 位次449 | 体育历史: 527分以上分, 位次97 | 体育物理: 539分以上分, 位次94
普通历史: 583分以上分, 位次292 | 普通物理: 609分以上分, 位次449 | 体育历史: 526分以上分, 位次101 | 体育物理: 538分以上分, 位次100
普通历史: 582分以上分, 位次302 | 普通物理: 608分以上分, 位次467 | 体育历史: 525分以上分, 位次111 | 体育物理: 537分以上分, 位次107
普通历史: 581分以上分, 位次314 | 普通物理: 607分以上分, 位次492 | 体育历史: 524分以上分, 位次112 | 体育物理: 536分以上分, 位次115
普通历史: 580分以上分, 位次324 | 普通物理: 606分以上分, 位次508 | 体育历史: 523分以上分, 位次113 | 体育物理: 535分以上分, 位次118
普通历史: 579分以上分, 位次340 | 普通物理: 605分以上分, 位次534 | 体育历史: 522分以上分, 位次115 | 体育物理: 534分以上分, 位次124
普通历史: 578分以上分, 位次355 | 普通物理: 604分以上分, 位次551 | 体育历史: 521分以上分, 位次119 | 体育物理: 533分以上分, 位次125
普通历史: 577分以上分, 位次369 | 普通物理: 603分以上分, 位次568 | 体育历史: 520分以上分, 位次124 | 体育物理: 532分以上分, 位次127
普通历史: 576分以上分, 位次387 | 普通物理: 602分以上分, 位次583 | 体育历史: 519分以上分, 位次126 | 体育物理: 531分以上分, 位次132
普通历史: 575分以上分, 位次398 | 普通物理: 601分以上分, 位次597 | 体育历史: 518分以上分, 位次129 | 体育物理: 530分以上分, 位次135
普通历史: 574分以上分, 位次410 | 普通物理: 600分以上分, 位次613 | 体育历史: 517分以上分, 位次134 | 体育物理: 529分以上分, 位次139
普通历史: 573分以上分, 位次416 | 普通物理: 599分以上分, 位次613 | 体育历史: 516分以上分, 位次140 | 体育物理: 528分以上分, 位次142
普通历史: 572分以上分, 位次432 | 普通物理: 598分以上分, 位次663 | 体育历史: 515分以上分, 位次145 | 体育物理: 527分以上分, 位次146
普通历史: 571分以上分, 位次442 | 普通物理: 597分以上分, 位次682 | 体育历史: 514分以上分, 位次147 | 体育物理: 526分以上分, 位次152
普通历史: 570分以上分, 位次452 | 普通物理: 596分以上分, 位次712 | 体育历史: 513分以上分, 位次149 | 体育物理: 525分以上分, 位次157
普通历史: 569分以上分, 位次470 | 普通物理: 595分以上分, 位次737 | 体育历史: 512分以上分, 位次155 | 体育物理: 524分以上分, 位次161
普通历史: 568分以上分, 位次484 | 普通物理: 594分以上分, 位次770 | 体育历史: 511分以上分, 位次158 | 体育物理: 523分以上分, 位次166
普通历史: 567分以上分, 位次497 | 普通物理: 593分以上分, 位次797 | 体育历史: 510分以上分, 位次161 | 体育物理: 522分以上分, 位次171
普通历史: 566分以上分, 位次512 | 普通物理: 592分以上分, 位次826 | 体育历史: 509分以上分, 位次167 | 体育物理: 521分以上分, 位次178
普通历史: 565分以上分, 位次529 | 普通物理: 591分以上分, 位次857 | 体育历史: 507分以上分, 位次168 | 体育物理: 520分以上分, 位次187
普通历史: 564分以上分, 位次549 | 普通物理: 590分以上分, 位次881 | 体育历史: 506分以上分, 位次177 | 体育物理: 519分以上分, 位次190
普通历史: 563分以上分, 位次568 | 普通物理: 589分以上分, 位次913 | 体育历史: 505分以上分, 位次183 | 体育物理: 518分以上分, 位次193
